Chris,"I personally thought this film is on par if not better than the Dark Knight.

Whilst some think the film is too long for the story I didn't find this. The length of the film is longer than some (but doesn't feel it), I liked that the film took it's time rather than shoving more elements in it - I think this contributed to the dramatic ending (much like a classical piece of music will be relaxed and calm before the final crescendo).

At the end of the day whether you like this film will boil down to if you like films Christopher Nolan has directed and/or you like the Christopher Nolan Batman series so far.

Stupendously good film in my opinion."
GeekMasher,"The Dark Knight Rises is one of the best movies to come out in 2012. The story compels you to watch it time and time again. It also has I of, I my opinion, the best bad guys in any movie, Bane! Batman was well played as all ways and the cast where well selected. I think this movie is the best batman to see the light of day or the darkest nights (pun intended)."
Im_Infinity,"No doubt that the movie is one of the best movies of this era.
The film doesn't lack in whatever it try to do.It has Simple narration with extraordinary Direction,Acting,Music,Cinematography and a lot of qualities.
Christian Bale is supremely entertaining for sure.
The person behind the scenes is actually the real core creater of the film yes! The Director Christopher Nolan ❤ .
The film ofcorse completes with philosophical quality loaded with Lots of Sacrifices.
This one is the one you surely can't afford to miss.
Go watch The Dark Knight.Go now."
talisencrw,"While it's clearly not as superlative as its famous predecessor, it's simply because of both Heath Ledger's outstanding and Oscar-winning performance, and the character of the Joker's etching in our collective unconscious as the greatest comic-book villain ever created (with Lex Luthor a very distant second place). This is still a masterwork, and is an excellent coda to the finest filmic trilogy ever made. As great as Christopher Nolan is as a director, and as fine a film as 'Interstellar' is, I really don't know if he'll ever be able to top his work here, on these three films. But I, for one, am certainly looking forward to finding out..."
DoryDarko,"So here we have it. The end of a trilogy, the end of an era of the universe of Batman through the eyes of Christopher Nolan. And baby, it goes out with a bang...

Going into the theatre tonight I actually wasn't sure what I was up for. I loved Batman Begins, but I didn't actually care that much for The Dark Knight. So the big question was, will TDKR actually be more like the first or the second film? The answer is: neither.

This third instalment of the Nolan-franchise carries its weight all on its own merits. Despite the lack of any kind of intro or opening credits, there actually is plenty of build-up (partly thanks to the insane opening scene). The foundation for a proper, action-packed story is laid down perfectly, explaining things just enough whilst keeping the viewer intrigued to find out more. But if you thought that Nolan couldn't surpass his previous work, you will be pleasantly deceived.

Christian Bale as Batman is terrific. Never before was a superhero so human, so vulnerable. As his mask of intangibility and anonymity slowly starts to crumble, this is a man who questions his reasons to keep being who he is, and he must figure it out before it is too late. Because somebody’s preparing to take him and Gotham down, and he might just be too strong for the Batman...

This somebody is a character called Bane. As a character, an actor and a performance it must be incredibly hard to follow Heath Ledger's The Joker, which was easily one of the greatest villains to ever appear on the silver screen. But tonight, Tom Hardy took a swing for the fence... and made it. His performance is thrilling and actually frightening, in the sense that you don't just *know* you're supposed to be afraid of this character, you actually FEEL it. He instils a feeling of horror and discomfort that is not rivalled by many other film villains. What I actually liked about his character the most is the fact that unlike Scarecrow, who grew into being a villain, and the Joker, who was just a raving maniac, Bane was actually (literally) born from evil. Born in hell, as it is said in the film. This is not a man, this is a creature. A living, breathing manifestation of evil that cannot be reasoned or negotiated with. Hardy's performance is masterful. Since his creepy mask is never removed, he, like only a few actors before him, must act without the use of any facial expressions, making his voice is main tool. His manner of speech (and the sound of it through his mask) is enough to send chills down your spine. This is more than just a another villain from a superhero flick, this is a character that just got torpedoed into the top 10 of the greatest antagonists in the history of film. Now I realise that's a bold statement to make, but you just go and watch TDKR and prove me wrong.

I would say a slight downside to this film is the overflow of characters, both new and old. Aside from the already familiar characters, three new major ones are introduced. And there are also many characters running along in the margin which may seem not important enough to pay attention to, but actually they are so you need to stay focused.

I understand the character of Joseph Gordon-Levitt, Blake, was written in specifically for him because Nolan wanted him in it. And although as a character he works just fine, it does feel like it was at the expense of Gary Oldman. As a cop, Levitt does everything that Oldman's character could've done, but he spends most of his screen time in the hospital, almost like they wanted to get him out of the way, and that's really too bad.

Now, I was extremely excited to see what Nolan had done with Catwoman, because she is one of my favourite film characters. When I heard that she would be played by Anne Hathaway, I had my doubts. I thought she was just way too sweet to pull this off. But I must say, Ms Hathaway did a pretty good job. She is actually much more sly and devious than I thought she could be. The Nolan brothers, on the other hand, disappointed me here. Catwoman isn't really Catwoman, she's just a sexy girl in a spandex suit who can kick your ass. Her movements aren't even typically cat-like... So that was a bit of a letdown.

I would also like to make a note on Michael Caine. I think his performance here was so much deeper and more character-driven than the other two films. In fact, there is one scene in particular, where he confesses something to Bruce, that almost moved me to tears. And this is actually TDKR’s greatest strength; unlike the other two films, this one deals much more with actual human emotions, it gives us an insight into what actually drives these characters, both heroes and villains alike. 

As much as I would love to, the word-limit restricts me from elaborating more on the characters, so I'll just move on to the technical stuff. And in that department, actually pretty much everything was perfect. The pacing was very well balanced, and during those 2 ½ hours I didn't get bored once. Great action scenes alternate with more quiet moments, and the special effects are absolutely awesome. Hans Zimmer once again delivered a terrific score and there was some high quality dialogue. Also in store: a couple of great plot twists and two very cool cameos... There are a few plot holes, but everything else easily makes up for it. 

I highly recommend The Dark Knight Rises. It is a worthy conclusion to the trilogy, and it far exceeded my expectations.
_(July 2012)_"
Per Gunnar Jonsson,"Batman was one of my childhood heroes from the Comic magazines even though the Swedish plonkers, in their infinite stupidity, had renamed him to something as ridiculous “Läderlappen” which basically translates into “patch of leather”.

Thus, when Christopher Nolan brought us Batman Begins and steered away from the ridiculous comic shows that the previous batman movies (except the first one) had turned into I was thrilled. Unfortunately I was equally disappointed with this one.

I think the title of the movie is quite misleading since Batman isn’t exactly rising at all but rather sinking. If this would have been a movie about some other “guy” it would probably have been excellent but it isn’t. It’s about Batman and as such I had expected him to be the hero going around beating up the bad guys.

Instead the movie starts downright boring with Batman having dug himself down into a swamp of melancholy and closed himself off from the world. When he finally starts to appear again he gets pretty much beaten at every turn not to mention conned out of the Wayne fortune. What the f… is that? It isn’t until the end that he starts to be the real Batman and even then it’s not very exciting.

Actually Batman, as in Batman and not Wayne, is not really in the movie for a good chunk of the time and the real hero in this movie is really the young cop and he sure isn’t a particularly good substitute for the superhero Batman that I was expecting to watch.

I was struggling with what to give this movie but in the end, since I probably would have thought it to be a good movie if it had not been labelled as a Batman movie, I gave it 5 out 10 stars. At least the special effects where quite okay."
Reviewsforlife,"""And when it is done, and Gotham is in ashes, then you have my permission to die."" - Bane, the Dark Knight Rises.

An epic, amazing end to the Dark Knight trilogy, with great acting, numerous complex subplots, a creepy villain, amazing action scenes and a heart-thumping score. I really love this film and consider it one of Nolan's better works, and I wish more people on the Internet would start giving it more respect.

Oh, also, I really don't care about the small plot holes like the magic mechanical leg and Bruce appearing in Gotham when he was at the desert shortly before - do you really want to see ten minutes of Bruce using plastic surgery to fix his bone, or him in a airport going to Gotham?"
AstroNoud,"Even though the plot feels messier than the previous two installments, one cannot resist a smile after the unexpected twist and final scenes, which make ‘The Dark Knight Rises’ a worthy final chapter of Nolan's epical trilogy.

9/10"
CinemaSerf,"Tom Hardy is superb in this denouement to Christopher Nolan's ""Batman"" trilogy. His depiction of the clever and malevolent ""Bane"" is intricate and terrifying in equal measure. Christian Bale also has the role very much under control now as he joins forces with his old pal ""Gordon"" (Gary Oldman) and jewel thief turned ""Catwoman"" (Anne Hathaway) to rise to his biggest challenge yet... What's great about this film is that is ties up all of the loose ends from the first two; it dots some i's and crosses the t's as the story neatly, and frequently quite subtly, introduces new threads to an old suit of clothes. This is an hugely characterful outing for all concerned - especially Sir Michael Caine as the wonderfully underplayed ""Alfred"" and Morgan Freeman as the arch-inventor ""Fox"". The plot takes it's time to develop, there is plenty of to-ing and fro-ing as they battle for the upper hand; new allies must learn to trust and to rely on each other. I found myself drawn to the ""Bane"" cause more than I ought to admit - a sign of a great baddie; you empathise with the evil (I think of ""Darth Vader"") especially once the story unveils traits in his character and elements of his history that, to a certain extent, justify his behaviour. The dialogue is sparing and potent and photography is really effective: the light and shade are used creatively with the Hans Zimmer score an huge improvement on his last outing. This is certainly one for a big screen - there is loads to see each time you watch, and though ""Batman"" was never my favourite super-hero, this has to be up there as one of the darkest and best super-hero films."
Andres Gomez,Totally forgettable and full of stereotypes
YetAnotherMovieWatcher,"Edgar Rice Burroughs wrote his series of John Carter novels before space flight was more than a fancy.  This movie is more adventure and romance and very little (if any) actual science.

This movie is the best production of A Princess of Mars, the first story in the series, that I've seen.

If you're a fan of the John Carter novels then you will probably get some enjoyment from John Carter.  While there are some differences you'll meet some familiar characters and recognize quite a few relevant plot points.

Not a great film, but not a bad one, either."
Per Gunnar Jonsson,"We sat down and watched this movie on Blu-ray yesterday evening to nicely end our little excursion day. This is a good film but it could have been (much) better.

The film itself and its special effects are quite good. I would say that the special effects are very good. The airships are very cool looking. The design nicely captures the retro atmosphere of the book without looking silly. I think they made the green men too slim though. I have always pictured them as way more bulky and monstrous. I like Woola’s appearance although him moving around at “supersonic” speeds is a bit over the top.

However, why is it that every film-company/producer/director/whatever now thinks that he can take an old classic, slam on the name in the title, and then do what the hell he likes with the material? This film has borrowed the basic idea and the names from Edgar Rice Burroughs John Carter book but almost nothing else. At most 10% of the story of the books is in the movie. The rest is pure invention and it does not improve the story. As a matter of fact it turns what was a good story into a standard unintelligent Hollywood faire. Been there, seen that, done that.

The examples are plentiful, the white apes the size of dinosaurs, the city of Zodanga moves around (what the f…), most of the plot as I said before is invented, the Therns have a completely different role etc. etc.

I especially dislike how they have made John Carter, the honorable gentleman from Virginia, into a fairly plain American guy who at first refuses to do the “right” thing. And what about these bloody wife and child flashbacks? That’s just disturbing.

None of this improves the movie. It got 6 stars, it could have gotten 9 or 10 if it had followed the books properly. It is Disney’s own fault that this movie was a disappointment at the box office, they screwed with classical material…again."
r96sk,"Unfulfilled potential, still narrowly liked it.

<em>'John Carter'</em> can feel underdeveloped and underwhelming, you could even argue it aimed to replicate <em>'Avatar'</em>, but there's enough there that allowed me to find a fair amount of enjoyment.

Taylor Kitsch is alright, I rate him, but a more convincing lead performance was necessary in my opinion. The rest of the cast, despite some well known names, fail to deliver anything noteworthy. Willem Dafoe works as Tars Tarkas, though only due to his distinctive voice; none of his dialogue etc. stand outs. The likes Samantha Morton, Mark Strong and Bryan Cranston give forgettable performances; arguably not their fault.

The premise has all the possibilities to be great, sadly the film fails to make their mark with it. The ending is extremely rushed, even for a 132 minute production. Visually it's good, but that's one of very few plus points - I haven't got many truth be told, but anything less than a 7* feels harsh."
tmdb44006625,"After the success of the first two Spider-Man films, Spider-Man 3 represents Sam Raimi's inability to overcome the biggest hurdle of a third movie, a hurdle that Alien 3, The Godfather Part 3, RoboCop 3, and the list goes on could not: studio interference.

Although I wish that would be the only thing wrong with Spider-Man 3. But almost every storytelling decision - from the creation of Sandman to Peter instantly falling in love with his new costume to that thing that was never actually called Venom - is just plain stupid. Right from the get go you hate Peter Parker.

Studio interference did not mandate the jazz bar dance scene. It did not have the Green Goblin 2 storyline make absolutely no sense whatsoever. It did not create that stupid love triangle between Gwen and Mary Jane, betraying everything Peter Parker is supposed to be about.

These were fundamental issues in the script and direction the film took. These were issues that doomed the film for failure. That's why this movie sucks, not just because they butchered Venom."
Justin Lopez,"This movie is about Spidey's revenge and  transformation to bad Spidey. It has a dark feel to it that I found one of the most appealing factors to this movie. Because we've all gotten used to Peter Parker being ""your friendly neighborhood Spider-Man,” having him turn to the dark side for some time and watch him get out of it was a whole new experience."
LoganWright,"Tobey Maguire makes such a great Spider-Man, hands down. We've seen him at his best, but in this movie,  we saw him at his worst, and although I must say I wasn't that big of a fan of how cheesy he looked with that emo cut, it was still enjoyable for me watching him beat the ""venom"" out of him."
BradleyStewart,So much emotion in this movie! What a way to end a trilogy!
Jane Hall,The third and final film to one of the few trilogies we have that are actually good. Tobey surely gave a whole new meaning to Spider-Man and set the bar high for the other Spider-Man movies that came out.
JessieCollins,"I know this is supposed to have a darker tone than the normal Spider-Man movies we see, but I found it more comedic to see Peter take on an entirely new character. Loved it though!"
John Smith,"My wife isn't that big of a superhero fanatic but after watching this whole trilogy with me, I can say that she's still not a superhero fan! Still, I know she was able to enjoy the movie and how the creators told the story."
1RobertJohnson1,It still puzzles me to this day why this felt like two movies crammed into one.
MichaelWilliams,"Now that I think about it, this film just had too much going on. Compared to the first two which were both hyper-focused on just one storyline, Spider Man 3 lacked that distinct characteristic which I know most of us will agree on."
WilliamJones,"Out of all the Tobey Maguire Spider Man films, this one had the best effects. But with that, the overall quality of the movie in terms of the plot greatly decreased. I wish they would've stuck with the same strategies they had for the first two films."
DavidBrown1,"I was satisfied, but that already was a disappointment. Spider Man 2 was a great sequel and I had high hopes that they would outdo themselves again this time, but sad to say third time's not gonna be the charm for Spider Man."
JosephWilson,"Although I'd say that Sandman's acting was pretty on point, I still feel like he could've been cut out from the movie and it still would've made sense."
